Dependents,Education,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,LoanAmount_log,TotalIncome_log,Gender_Male,Married_Yes,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
0,1,145.67,0.2732312961117544,1.0,1,5849.0,0.24403981861299018,0.012053666172255666,True,False,False,False,True
1,1,128.0,0.2732312961117544,1.0,0,6091.0,-0.014435616487031582,0.08757503243601293,True,True,False,False,False
0,1,66.0,0.2732312961117544,1.0,1,3000.0,-1.333503386625669,-1.2315752563954672,True,True,True,False,True
0,0,120.0,0.2732312961117544,1.0,1,4941.0,-0.14334207362442966,-0.30220258821823637,True,True,False,False,True
0,1,141.0,0.2732312961117544,1.0,1,6000.0,0.1788875550228049,0.059534412096097715,True,False,False,False,True
2,1,267.0,0.2732312961117544,1.0,1,9613.0,1.4577666278495434,0.937614691164734,True,True,True,False,True
0,0,95.0,0.2732312961117544,1.0,1,3849.0,-0.6093456305008303,-0.7674193330758763,True,True,False,False,True
3,1,158.0,0.2732312961117544,0.0,0,5540.0,0.40656563837188187,-0.0890519471192459,True,True,False,True,False
2,1,168.0,0.2732312961117544,1.0,1,5532.0,0.5293766077661708,-0.0917438390680701,True,True,False,False,True
1,1,349.0,0.2732312961117544,1.0,0,23809.0,1.9952562633744826,2.6272557035736446,True,True,False,True,False
2,1,70.0,0.2732312961117544,1.0,1,3900.0,-1.2167474522148012,-0.742901008673179,True,True,False,False,True
2,1,109.0,0.2732312961117544,1.0,1,4340.0,-0.3352468049883662,-0.5437854337216257,True,True,False,False,True
2,1,200.0,0.2732312961117544,1.0,1,11179.0,0.8785257645396366,1.2187716744760626,True,True,False,False,True
0,1,114.0,0.2732312961117544,1.0,0,4693.0,-0.24574426105945174,-0.39812561785988065,True,False,False,False,False
2,1,17.0,-3.4548579441686273,1.0,1,2385.0,-3.9798565082859496,-1.6588406652645145,True,True,False,False,True
0,1,125.0,0.2732312961117544,1.0,1,4950.0,-0.061813701321556044,-0.29881268967490726,True,False,False,False,True
1,0,100.0,-1.5908133240284363,1.0,1,3596.0,-0.507116786934352,-0.8940615246952726,True,False,False,False,True
0,1,76.0,0.2732312961117544,0.0,0,3510.0,-1.0534031387749039,-0.9391477944680386,False,False,False,False,True
0,0,133.0,0.2732312961117544,1.0,0,4887.0,0.0621316206119373,-0.32267253392822376,True,True,False,False,False
0,1,115.0,0.2732312961117544,1.0,1,6100.0,-0.22831146208393174,0.09032548459118638,True,True,False,False,True
0,0,104.0,0.2732312961117544,0.0,0,7660.0,-0.4289137262111428,0.5145401906727557,True,True,False,False,True
1,1,315.0,0.2732312961117544,1.0,1,11580.0,1.7894972867274799,1.2844270142865857,True,True,False,False,True
0,0,116.0,0.2732312961117544,0.0,0,4511.0,-0.2110283027133869,-0.4718021349567155,True,True,False,True,False
2,0,112.0,0.2732312961117544,0.0,0,5282.0,-0.2810693022820758,-0.17788738985271543,True,True,False,False,False
1,1,151.0,0.2732312961117544,1.0,0,6642.0,0.31591154982831726,0.24889790598346323,True,True,False,True,False
0,1,191.0,0.2732312961117544,1.0,1,9560.0,0.7862893767367759,0.9273152494763279,True,True,True,True,False
0,1,122.0,0.2732312961117544,1.0,1,5052.0,-0.11033353594785114,-0.26081881211281094,True,True,False,True,False
2,0,110.0,0.2732312961117544,1.0,1,5266.0,-0.31702518104533023,-0.18353858020537026,True,True,False,False,True
0,0,35.0,0.2732312961117544,1.0,0,1442.0,-2.584221501048343,-2.5957953273919614,True,False,False,False,True
2,1,120.0,0.2732312961117544,1.0,1,5833.0,-0.14334207362442966,0.0069509573586338065,False,False,False,True,False
1,1,201.0,0.2732312961117544,1.0,0,7535.0,0.8885182203032541,0.4838899404641046,True,True,False,False,True
0,1,74.0,0.2732312961117544,1.0,0,3167.0,-1.1063923996622114,-1.1306778731979021,True,False,False,False,True
1,1,106.0,0.2732312961117544,1.0,0,4692.0,-0.39092249149611913,-0.3985225765043947,True,False,True,False,False
0,1,114.0,0.2732312961117544,1.0,1,5167.0,-0.24574426105945174,-0.21889170872186453,True,True,False,True,False
3,1,320.0,0.2732312961117544,1.0,0,15500.0,1.8211066596691865,1.8276001943636866,True,False,False,False,False
0,1,106.31,0.2732312961117544,1.0,1,4342.0,-0.3850974912299109,-0.5429272460551532,True,True,False,False,True
0,1,100.0,0.2732312961117544,0.0,0,3158.0,-0.507116786934352,-1.1359783757515527,True,True,False,False,True
0,1,144.0,0.2732312961117544,1.0,1,5126.0,0.22098265695418082,-0.23373163973365896,False,True,False,True,False
0,1,184.0,0.2732312961117544,1.0,1,11376.0,0.7115098013026891,1.2513154554809274,True,False,False,False,True
0,0,110.0,0.2732312961117544,1.0,1,5416.0,-0.31702518104533023,-0.13121975334134603,True,False,False,True,False
0,1,80.0,0.2732312961117544,1.0,0,3600.0,-0.9514332131929446,-0.891990809960338,True,False,False,False,True
0,1,47.0,0.2732312961117544,1.0,1,3013.0,-2.0049806377384356,-1.2235218340198368,True,False,False,False,True
0,1,75.0,0.2732312961117544,1.0,1,2400.0,-1.0797234574092889,-1.6471644704315187,True,True,False,False,True
0,1,134.0,0.2732312961117544,1.0,1,6277.0,0.0771017691550748,0.14360857214203915,True,True,False,True,False
0,0,96.0,0.2732312961117544,1.0,1,4695.0,-0.5884804105807643,-0.39733195420955275,True,True,True,False,True
0,1,88.0,0.2732312961117544,1.0,1,3410.0,-0.7617895440585697,-0.9929835362453197,False,False,False,False,True
1,1,44.0,0.2732312961117544,1.0,1,5649.0,-2.134927382010231,-0.052757229959684425,True,True,False,False,True
0,1,144.0,0.2732312961117544,1.0,1,5821.0,0.22098265695418082,0.003114733509885256,True,True,False,False,True
0,1,120.0,0.2732312961117544,0.0,0,6085.0,-0.14334207362442966,0.08573913930900547,False,True,False,False,True
0,1,144.0,0.2732312961117544,1.0,1,6275.0,0.22098265695418082,0.14301493651778444,False,False,False,True,False
0,0,100.0,0.2732312961117544,1.0,1,3572.0,-0.507116786934352,-0.9065343772431936,False,True,False,True,False
0,1,120.0,0.2732312961117544,1.0,1,3086.0,-0.14334207362442966,-1.1789341779844527,False,False,False,True,False
0,1,112.0,0.2732312961117544,1.0,0,4230.0,-0.2810693022820758,-0.5916050892636148,False,False,False,True,False
2,1,134.0,0.2732312961117544,1.0,0,4616.0,0.0771017691550748,-0.4289416259438455,True,True,False,False,True
1,1,286.0,0.2732312961117544,0.0,0,11500.0,1.5956801198512385,1.271512134457923,False,True,True,False,True
2,1,97.0,0.2732312961117544,1.0,1,3875.0,-0.5678291966877719,-0.7548794824334198,True,True,False,True,False
0,1,96.0,0.2732312961117544,1.0,1,3723.0,-0.5884804105807643,-0.8294144371264225,True,True,False,True,False
0,1,135.0,0.2732312961117544,1.0,0,5566.0,0.09196143589051677,-0.08033006223807874,True,True,False,False,False
1,1,180.0,0.2732312961117544,1.0,1,10330.0,0.6674976510461346,1.0716269052948368,True,True,False,False,True
2,0,144.0,0.2732312961117544,1.0,1,6216.0,0.22098265695418082,0.1254170472507686,True,True,False,False,True
0,1,120.0,0.2732312961117544,1.0,1,6296.0,-0.14334207362442966,0.14923869689217378,True,True,False,False,True
3,1,99.0,0.2732312961117544,1.0,1,3029.0,-0.5271515363523027,-1.2136574806474048,True,True,False,False,True
0,0,165.0,-2.5228356340985316,0.0,0,6058.0,0.49331339229133087,0.07745515932873843,True,True,True,False,False
1,1,114.43,0.2732312961117544,0.0,0,4945.0,-0.23822965308636979,-0.30069520513360937,True,True,False,False,False
0,1,116.0,0.2732312961117544,0.0,0,4166.0,-0.2110283027133869,-0.6200028824266403,False,False,False,True,False
0,1,258.0,0.2732312961117544,1.0,0,10321.0,1.3889884747537578,1.0700031092768114,True,True,False,True,False
0,0,126.0,-2.5228356340985316,0.0,0,5454.0,-0.0458968144495472,-0.11819564495938747,True,False,False,False,True
1,1,312.0,0.2732312961117544,1.0,1,10750.0,1.7702906955845295,1.1458718738775042,True,True,False,False,True
3,0,125.0,-4.386880254238722,1.0,1,7100.0,-0.061813701321556044,0.3731161098568535,True,True,True,False,True
0,1,136.0,0.2732312961117544,0.0,0,4300.0,0.10671223962120965,-0.5610327255157574,False,False,False,True,False
0,1,172.0,0.2732312961117544,1.0,1,6274.0,0.5764776024325258,0.1427180477607256,True,True,False,False,True
2,0,97.0,0.2732312961117544,1.0,1,3750.0,-0.5678291966877719,-0.8159550112190344,True,True,True,True,False
0,1,81.0,-0.6587910139583409,1.0,1,3500.0,-0.9267276798755487,-0.9444619035783328,True,False,False,True,False
3,0,95.0,0.2732312961117544,0.0,0,4755.0,-0.6093456305008303,-0.3736779074468067,True,True,False,True,False
3,1,187.0,0.2732312961117544,1.0,1,7040.0,0.7438988488340921,0.35730672020851534,True,True,True,True,False
0,1,113.0,2.1372759162519452,1.0,0,3750.0,-0.26332931348158956,-0.8159550112190344,True,False,False,False,True
0,1,176.0,0.2732312961117544,1.0,0,8500.0,0.6225019080835053,0.7083821413370093,True,False,False,False,True
1,1,110.0,0.2732312961117544,1.0,0,4022.0,-0.31702518104533023,-0.6855261322314372,True,True,True,False,True
3,1,180.0,-0.6587910139583409,0.0,0,7167.0,0.6674976510461346,0.39061282561911576,True,True,False,True,False
3,0,130.0,0.2732312961117544,1.0,1,5499.0,0.016541543801698245,-0.10288918870110558,True,True,True,True,False
0,1,111.0,0.2732312961117544,1.0,1,3846.0,-0.2989669819393486,-0.7688716850197379,False,False,False,True,False
1,1,83.12,0.2732312961117544,1.0,1,2395.0,-0.875333503999045,-1.6510484105309267,True,True,True,True,False
2,1,167.0,0.2732312961117544,1.0,0,3259.0,0.5174271619883508,-1.0773427016481036,False,True,False,False,True
0,1,265.0,0.2732312961117544,1.0,0,8250.0,1.4426843423174984,0.652768969062249,True,True,False,True,False
1,1,50.0,-1.5908133240284363,1.0,1,3988.0,-1.882914434656997,-0.7013390737074052,True,True,False,False,True
0,1,136.0,0.2732312961117544,1.0,1,4897.0,0.10671223962120965,-0.3188647962632537,True,False,False,True,False
2,0,99.0,0.2732312961117544,1.0,1,5333.0,-0.5271515363523027,-0.15998777116595567,True,True,False,True,False
0,1,104.0,0.2732312961117544,1.0,1,4618.0,-0.4289137262111428,-0.4281347288368343,True,True,False,True,False
0,1,210.0,0.2732312961117544,1.0,1,8566.0,0.9762865042594615,0.7227911978997311,True,False,False,False,True
0,1,175.0,0.2732312961117544,1.0,1,9862.0,0.6110940832111256,0.9852548307010484,True,True,False,True,False
0,1,131.0,0.2732312961117544,1.0,1,5858.0,0.0318532199012188,0.014917810304282637,True,True,False,True,False
2,1,188.0,-2.5228356340985316,1.0,1,11904.0,0.7545804426061433,1.3358355917936902,True,True,False,True,False
2,0,81.0,0.2732312961117544,1.0,1,5093.0,-0.9267276798755487,-0.2457624295859277,True,True,False,False,True
0,1,122.0,0.2732312961117544,1.0,1,4133.0,-0.11033353594785114,-0.6348163896663118,True,False,False,True,False
0,0,25.0,-3.4548579441686273,1.0,1,3620.0,-3.239451597806391,-0.8816716177486,True,False,False,True,False
0,1,153.35,0.2732312961117544,1.0,0,6782.0,0.34680275738108735,0.2877549012563076,True,False,False,False,True
0,1,137.0,0.2732312961117544,1.0,1,4786.0,0.12135576383013505,-0.3615733092532984,False,True,False,True,False
0,1,50.0,0.2732312961117544,1.0,1,2974.0,-1.882914434656997,-1.2477872931475964,True,True,False,True,False
0,0,115.0,-2.5228356340985316,1.0,1,4188.0,-0.22831146208393174,-0.6101922425724328,True,True,False,True,False
0,1,131.0,0.2732312961117544,1.0,1,5300.0,0.0318532199012188,-0.17155022254924587,True,True,False,True,False
2,0,133.0,-2.5228356340985316,1.0,1,7551.0,0.0621316206119373,0.48784142739805847,True,True,False,False,True
0,1,151.0,0.2732312961117544,1.0,1,8649.0,0.31591154982831726,0.7407549088158222,True,False,False,True,False
0,1,256.99,0.2732312961117544,1.0,1,13650.0,1.3811213475441528,1.5908123112766845,True,True,False,False,True
0,1,176.35,0.2732312961117544,1.0,1,8235.0,0.6264794259359971,0.6493787963715779,True,True,False,True,False
0,1,160.0,0.2732312961117544,1.0,1,4570.0,0.43173441239161675,-0.4475973691001798,True,True,False,False,True
1,1,100.0,0.2732312961117544,1.0,1,4082.0,-0.507116786934352,-0.6579442015426451,True,True,False,False,True
2,1,225.0,0.2732312961117544,1.0,1,12543.0,1.1145657049555304,1.4332472093088433,True,True,False,False,True
0,0,120.0,0.2732312961117544,1.0,0,7333.0,-0.14334207362442966,0.4332679523475959,True,False,False,False,False
2,1,216.0,0.2732312961117544,0.0,0,7400.0,1.032742792613536,0.45021132004298325,True,True,False,False,True
3,0,94.0,2.1372759162519452,1.0,1,2825.0,-0.6304293383711763,-1.3435179450274055,True,True,False,True,False
0,1,136.0,0.2732312961117544,1.0,1,5316.0,0.10671223962120965,-0.1659352237135946,True,False,False,False,True
0,1,139.0,0.2732312961117544,1.0,1,5262.0,0.15032713709876397,-0.18495406015263077,False,True,False,True,False
0,0,152.0,0.2732312961117544,0.0,0,7686.0,0.32911471650830754,0.5208525840143358,True,True,False,False,False
1,1,167.96,0.2732312961117544,1.0,1,7451.0,0.5288999890625998,0.46300601045794804,False,False,True,True,False
0,1,118.0,0.2732312961117544,1.0,1,5050.0,-0.1769007788579083,-0.26155639145378556,True,False,False,True,False
1,1,185.0,-2.5228356340985316,1.0,1,14583.0,0.7223641440520543,1.7139877384731743,True,True,False,False,False
0,1,154.0,0.2732312961117544,1.0,1,5450.0,0.35526411916246753,-0.11956232419981547,False,True,False,True,False
1,1,85.0,0.2732312961117544,1.0,1,3612.0,-0.8308297604147309,-0.8857924386510008,True,True,False,False,True
0,1,175.0,0.2732312961117544,1.0,0,7710.0,0.6110940832111256,0.5266604870657835,True,True,False,False,False
0,1,259.0,0.2732312961117544,1.0,1,10408.0,1.3967475429445393,1.0856408364089862,False,False,False,False,True
0,1,180.0,0.2732312961117544,1.0,1,8334.0,0.6674976510461346,0.671640773104373,True,True,False,False,False
0,1,44.0,0.2732312961117544,1.0,1,4166.0,-2.134927382010231,-0.6200028824266403,False,False,False,True,False
0,1,137.0,0.2732312961117544,0.0,1,11117.0,0.12135576383013505,1.2084107387929202,False,False,False,True,False
2,1,81.0,0.2732312961117544,1.0,1,2957.0,-0.9267276798755487,-1.2584642587052903,True,True,False,True,False
0,0,194.0,0.2732312961117544,1.0,1,6314.0,0.8175066796346325,0.15455685100062103,True,True,False,False,False
0,1,93.0,0.2732312961117544,1.0,1,3692.0,-0.6517361584035141,-0.8449887187607708,False,False,False,False,False
3,1,370.0,0.2732312961117544,1.0,1,23803.0,2.1125792941709696,2.626786146199555,True,True,False,False,False
0,1,126.66,0.2732312961117544,1.0,1,5505.0,-0.035460177837013836,-0.10085779610556808,True,False,False,False,False
1,1,160.0,-2.5228356340985316,0.0,0,14363.0,0.43173441239161675,1.685668305168996,True,True,True,False,True
0,1,182.0,0.2732312961117544,1.0,0,8649.0,0.6896239803450597,0.7407549088158222,True,True,False,False,False
0,1,650.0,2.1372759162519452,1.0,1,20166.0,3.077164025108436,2.3178687242927336,True,False,True,False,True
0,1,74.0,0.2732312961117544,1.0,1,3943.0,-1.1063923996622114,-0.7224764849937334,True,False,False,False,True
0,1,70.0,0.2732312961117544,1.0,1,2718.0,-1.2167474522148012,-1.4154310798570684,True,False,False,True,False
0,1,25.0,-3.4548579441686273,1.0,1,3459.0,-3.239451597806391,-0.966409619248676,True,True,True,True,False
0,1,102.0,0.2732312961117544,1.0,1,4895.0,-0.46763560620455746,-0.3196257214896642,True,False,False,True,False
3,1,290.0,0.2732312961117544,1.0,0,11750.0,1.6235487405845412,1.3115774447245228,True,True,False,True,False
0,1,84.0,0.2732312961117544,1.0,0,4583.0,-0.8543794523089768,-0.44230613013527353,False,True,False,False,False
2,1,88.0,0.2732312961117544,1.0,1,6816.0,-0.7617895440585697,0.2970705476187807,True,True,True,False,True
0,1,242.0,0.2732312961117544,0.0,0,14999.0,1.2605959379723592,1.7663884451359684,True,False,False,True,False
2,0,129.0,0.2732312961117544,1.0,0,5630.0,0.001112535706933119,-0.05903316576339947,True,True,False,False,False
2,1,185.0,0.2732312961117544,1.0,0,7125.0,0.7223641440520543,0.3796639671305039,True,True,False,False,False
0,1,168.0,0.2732312961117544,1.0,1,5417.0,0.5293766077661708,-0.13087584463875848,True,False,False,False,True
0,1,175.0,-2.5228356340985316,1.0,1,6950.0,0.6110940832111256,0.3333382242419576,True,False,True,True,False
0,1,122.0,0.2732312961117544,1.0,1,4732.0,-0.11033353594785114,-0.38270983239405004,True,True,False,True,False
2,1,187.0,-2.5228356340985316,1.0,1,11757.0,0.7438988488340921,1.3126869668753764,True,True,False,False,True
0,1,100.0,0.2732312961117544,1.0,1,6816.0,-0.507116786934352,0.2970705476187807,False,True,False,True,False
2,1,70.0,0.2732312961117544,1.0,1,14866.0,-1.2167474522148012,1.7497950601332641,False,True,False,False,True
1,1,30.0,0.2732312961117544,1.0,1,2963.0,-2.8853000143508574,-1.2546889273405921,True,True,False,False,True
0,1,225.0,0.2732312961117544,1.0,0,11666.0,1.1145657049555304,1.2982113840824856,False,False,False,False,False
0,1,125.0,0.2732312961117544,1.0,1,5690.0,-0.061813701321556044,-0.03928602392460776,True,True,False,True,False
0,1,118.0,0.2732312961117544,0.0,0,6277.0,-0.1769007788579083,0.14360857214203915,True,False,False,False,False
0,1,152.0,0.2732312961117544,1.0,1,6327.0,0.32911471650830754,0.1583883211609527,True,True,True,False,False
0,1,244.0,0.2732312961117544,1.0,0,9166.0,1.2770999295879468,0.8489107500774257,True,False,False,False,True
2,0,113.0,0.2732312961117544,1.0,0,2281.0,-0.26332931348158956,-1.741872846022876,True,True,False,False,False
0,1,50.0,0.2732312961117544,1.0,1,3254.0,-1.882914434656997,-1.0802024495479658,True,False,False,False,True
3,1,600.0,-2.5228356340985316,0.0,1,39999.0,3.077164025108436,3.5937963306274785,True,True,False,True,False
1,1,160.0,0.2732312961117544,1.0,1,6000.0,0.43173441239161675,0.059534412096097715,True,True,False,False,False
1,1,187.0,0.2732312961117544,1.0,1,9538.0,0.7438988488340921,0.923023230970757,True,True,False,False,True
0,1,120.0,0.2732312961117544,1.0,1,5063.0,-0.14334207362442966,-0.2567673368974988,True,False,False,False,False
0,1,255.0,0.2732312961117544,1.0,1,10208.0,1.3655302400466827,1.049494094120757,True,True,False,True,False
0,0,98.0,0.2732312961117544,1.0,1,2904.0,-0.547387643408688,-1.292149517304311,True,True,False,True,False
0,1,275.0,0.2732312961117544,1.0,0,7933.0,1.5169907710677395,0.5797771509248225,True,True,False,False,True
1,1,121.0,0.2732312961117544,0.0,0,4369.0,-0.12677016358263965,-0.5313802366265007,True,True,False,True,False
2,1,158.0,0.2732312961117544,1.0,1,5614.0,0.40656563837188187,-0.06433461096505058,True,True,False,False,False
0,1,75.0,-2.5228356340985316,1.0,1,9323.0,-1.0797234574092889,0.8805496788291839,True,True,False,False,True
0,1,182.0,0.2732312961117544,1.0,1,6873.0,0.6896239803450597,0.3125842078155638,True,True,False,False,False
0,1,112.0,0.2732312961117544,1.0,0,4583.0,-0.2810693022820758,-0.44230613013527353,False,True,False,False,False
0,1,129.0,0.2732312961117544,1.0,1,5772.0,0.001112535706933119,-0.012632344993486285,True,True,False,False,False
0,1,63.0,2.1372759162519452,0.0,0,2237.0,-1.4257397744285296,-1.778147229548031,True,False,False,True,False
2,1,200.0,0.2732312961117544,1.0,1,8000.0,0.8785257645396366,0.5954445669024436,True,True,False,True,False
0,0,95.0,0.2732312961117544,1.0,1,3589.0,-0.6093456305008303,-0.897690822555518,True,True,False,False,False
3,1,700.0,-0.6587910139583409,1.0,1,51763.0,3.077164025108436,3.7619363782886546,True,True,False,False,True
3,0,81.0,-2.5228356340985316,1.0,0,3522.0,-0.9267276798755487,-0.9327908065858435,True,True,False,False,False
0,1,187.0,0.2732312961117544,1.0,1,11333.0,0.7438988488340921,1.244260329106648,True,True,False,True,False
0,0,87.0,0.2732312961117544,1.0,0,5080.0,-0.7845409240264788,-0.25052324398624426,True,True,True,True,False
0,1,116.0,0.2732312961117544,1.0,1,5461.0,-0.2110283027133869,-0.11580636594058812,True,True,False,False,False
2,1,101.0,0.2732312961117544,1.0,1,3664.0,-0.48727942741939184,-0.8591685944771902,True,True,False,False,False
3,1,495.0,0.2732312961117544,0.0,0,16816.0,2.697240014599567,1.9794183484799677,True,True,False,True,False
1,1,116.0,0.2732312961117544,1.0,1,3750.0,-0.2110283027133869,-0.8159550112190344,True,True,False,True,False
0,0,102.0,2.1372759162519452,0.0,0,3784.0,-0.46763560620455746,-0.7991432561480404,True,False,False,False,True
1,1,180.0,0.2732312961117544,0.0,0,13650.0,0.6674976510461346,1.5908123112766845,True,True,False,False,True
0,1,67.0,0.2732312961117544,1.0,0,6979.0,-1.3036735713470895,0.34109512818054527,True,False,False,False,False
0,1,73.0,-2.5228356340985316,1.0,1,4600.0,-1.1334193249730278,-0.4354094142260115,True,True,False,True,False
1,1,260.0,0.2732312961117544,1.0,0,33846.0,1.404476825771467,3.2826002013789726,True,True,False,True,False
0,1,108.0,0.2732312961117544,1.0,1,3625.0,-0.35363483875866836,-0.8791007253978386,False,True,False,True,False
0,1,120.0,0.2732312961117544,1.0,1,43897.0,-0.14334207362442966,3.7619363782886546,True,True,True,True,False
1,1,66.0,-0.6587910139583409,0.0,0,2178.0,-1.333503386625669,-1.8279235195290893,True,True,True,False,False
0,1,58.0,0.2732312961117544,1.0,1,4521.0,-1.5895272430817984,-0.46767743681209173,True,True,False,False,False
0,1,168.0,0.2732312961117544,1.0,1,5970.0,0.5293766077661708,0.05019697829720225,True,True,True,False,False
0,1,188.0,-2.5228356340985316,1.0,1,9328.0,0.7545804426061433,0.8815485130304346,True,True,False,False,False
0,0,48.0,0.2732312961117544,1.0,1,4885.0,-1.963464203925379,-0.32343501619422543,True,False,False,False,False
0,1,164.0,0.2732312961117544,1.0,0,12000.0,0.48114733893933137,1.350799282831844,True,False,False,True,False
0,0,160.0,0.2732312961117544,1.0,0,6033.0,0.43173441239161675,0.06975182663556788,True,True,False,False,True
0,1,76.0,0.2732312961117544,1.0,1,3858.0,-1.0534031387749039,-0.7630690577776729,True,False,False,True,False
0,1,120.0,0.2732312961117544,1.0,1,4191.0,-0.14334207362442966,-0.6088584216890947,True,False,False,False,False
1,1,170.0,0.2732312961117544,1.0,0,5708.0,0.5530648304461099,-0.03340246516899993,True,True,False,True,False
0,1,187.0,0.2732312961117544,1.0,1,12083.0,0.7438988488340921,1.3636404719213502,True,False,False,False,False
0,0,120.0,0.2732312961117544,1.0,1,4272.0,-0.14334207362442966,-0.5732015373652554,False,False,False,False,True
0,1,113.0,0.2732312961117544,1.0,1,6232.0,-0.26332931348158956,0.1302058059121019,False,True,False,True,False
0,1,83.0,0.2732312961117544,1.0,0,11000.0,-0.8782078452492554,1.188700290415992,True,False,True,False,True
1,0,90.0,0.2732312961117544,1.0,1,5100.0,-0.7170437980796045,-0.24320394409573667,True,True,False,True,False
2,1,166.0,0.2732312961117544,0.0,1,4923.0,0.505406375813202,-0.3090009450492154,True,False,False,True,False
3,0,70.49,-2.5228356340985316,1.0,0,3992.0,-1.202899364854773,-0.699471746674651,True,True,False,False,True
